user_id	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	Q13	Q14	Q15
285	5	4	0	0	3	5	3	5	5	2	2	2	5	2	5
286	5	3	2	2	2	3	3	2	3	2	2	2	3	2	3
287	3	2	3	3	2	3	2	3	3	3	2	2	3	3	3
290	3	2	2	2	2	3	2	3	3	2	2	2	3	3	3
292	3	2	3	3	2	3	2	3	3	3	2	2	3	3	3
294	3	1	5	3	1	5	4	4	2	4	2	4	4	3	3
295	3	3	5	5	3	5	3	5	3	5	3	3	3	2	5
299	3	2	3	3	2	3	3	3	3	3	2	2	3	3	3
300	2	3	4	2	3	4	2	3	4	2	3	4	2	3	4
303	4	2	3	3	2	5	1	5	4	1	1	1	4	5	5
304	3	2	3	3	2	3	2	3	3	3	2	2	3	3	3
305	3	2	3	3	2	3	3	3	3	3	3	3	3	3	3
306	3	2	3	3	2	3	2	3	3	3	2	2	3	3	3
307	2	3	0	0	3	5	2	5	5	0	0	2	5	2	5
308	5	3	5	3	3	5	2	5	5	3	3	3	5	3	5
310	3	3	3	3	3	3	2	3	3	4	2	2	4	3	3
311	3	2	3	3	2	3	2	3	3	3	2	2	3	3	3
312	4	2	3	3	2	4	2	3	3	3	2	2	3	3	3
316	4	3	2	3	2	5	3	4	3	3	3	2	3	2	4
323	5	1	5	5	0	5	1	4	5	4	1	1	5	5	4
326	0	3	2	3	2	1	1	1	1	2	2	3	2	2	2
327	5	5	5	0	0	0	5	5	5	0	0	0	5	5	5
328	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
329	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
334	5	3	3	3	3	5	2	3	5	3	0	0	5	4	5
338	5	5	5	0	0	0	5	5	5	0	0	0	5	5	5
339	4	2	4	4	2	4	2	4	4	4	2	2	4	4	4
341	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
344	3	2	3	3	2	3	2	3	3	3	2	2	3	3	3
346	5	2	0	0	2	5	2	5	5	0	2	2	5	3	5
348	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
352	4	3	3	3	3	3	2	3	4	3	2	2	4	2	3
360	4	1	4	4	1	4	1	4	4	4	1	1	4	4	4
363	4	2	2	3	3	1	2	0	0	1	3	3	2	0	2
370	5	5	5	0	0	0	5	5	5	0	0	0	5	5	5
371	3	3	2	3	3	3	3	3	1	3	3	3	3	3	3
374	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
376	5	5	2	4	0	4	4	4	2	5	4	0	5	3	3
377	2	3	2	2	0	2	3	2	1	3	3	3	2	3	2
380	4	2	2	3	3	3	1	4	4	3	1	2	3	2	4
382	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
383	1	5	5	4	4	1	4	1	4	5	4	1	4	2	1
385	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
386	5	4	1	1	4	3	3	1	5	1	3	3	5	1	3
390	4	2	0	0	1	5	3	5	4	0	3	1	4	4	5
394	3	5	2	2	5	3	3	0	3	2	3	3	3	0	3
398	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
401	5	5	5	0	0	0	5	5	5	0	0	0	5	5	5
405	4	2	2	2	2	4	2	2	4	2	2	2	4	4	4
409	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
413	3	3	3	3	5	5	1	5	3	5	3	1	5	5	3
421	4	2	2	3	3	3	1	4	4	3	1	2	3	2	4
425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
426	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
427	2	3	3	3	3	4	3	3	2	3	3	3	2	2	4
428	1	2	2	2	3	2	3	3	2	2	3	3	2	3	2
429	3	2	2	2	2	4	1	2	3	2	1	1	3	3	3
431	2	3	3	3	3	4	3	3	2	3	3	3	2	2	4
441	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
442	3	5	2	2	5	3	3	0	3	2	3	3	3	0	3
444	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
447	5	2	4	4	2	4	1	5	5	4	1	1	5	4	4
449	3	2	3	3	2	3	2	3	3	3	2	2	3	3	3
451	3	2	3	5	2	3	2	3	3	1	2	0	3	5	3
453	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
454	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
458	5	5	5	0	0	0	5	5	5	0	0	0	5	5	5
465	5	0	3	3	0	3	0	3	5	3	0	0	5	5	3
468	3	2	3	3	2	3	2	3	3	3	2	2	3	3	3
476	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
481	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
483	4	3	5	5	3	5	3	4	4	5	3	3	4	4	5
489	2	2	0	2	5	3	2	2	2	3	3	1	2	0	1
490	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
491	3	3	5	5	5	5	1	5	3	5	0	2	3	5	5
493	4	1	4	4	1	4	1	4	4	4	1	1	4	4	4
494	5	3	3	3	3	5	2	3	5	3	0	0	5	4	5
500	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
501	4	2	0	0	1	5	3	5	4	0	3	1	4	4	5
503	5	5	5	0	0	0	5	5	5	0	0	0	5	5	5
505	4	3	5	5	3	5	3	4	4	5	3	3	4	4	5
513	5	1	5	5	0	5	2	5	5	3	1	0	5	4	3
514	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
519	2	2	0	5	5	3	3	2	2	5	4	4	2	4	3
520	5	5	5	0	0	0	5	5	5	0	0	0	5	5	5
526	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
529	4	1	4	4	1	2	1	4	4	4	1	1	4	4	4
534	5	5	5	0	0	0	5	5	5	0	0	0	5	5	5
545	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
548	5	4	1	1	4	3	3	1	5	1	3	3	5	1	3
551	5	0	3	3	0	3	0	3	5	3	0	0	5	5	3
552	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
556	3	2	1	2	3	3	2	3	1	0	1	1	3	3	1
560	4	1	4	4	1	4	1	4	4	4	1	1	4	4	4
566	5	3	5	3	5	5	2	3	2	2	5	5	4	5	3
570	5	1	5	5	0	5	3	4	5	3	0	0	5	5	5
571	5	0	5	5	5	5	0	5	5	5	0	0	5	5	5
575	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
576	4	3	2	3	2	5	3	4	3	3	3	2	3	2	4
578	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
579	3	3	5	5	3	5	3	5	3	5	3	3	3	2	5
583	5	5	0	0	5	5	5	5	4	0	5	5	4	0	5
584	0	1	2	3	4	5	1	3	2	5	5	5	5	5	4
585	4	2	0	0	2	2	2	3	3	0	1	1	4	4	4
587	5	5	5	0	0	0	5	5	5	0	0	0	5	5	5
588	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
589	4	2	2	2	2	4	2	2	2	2	2	2	4	4	4
590	4	1	4	4	1	4	1	4	4	4	1	1	4	4	4
591	4	2	4	4	2	4	2	4	4	4	3	3	4	4	4
592	4	2	4	4	2	4	2	4	4	4	2	2	4	5	4
593	5	1	3	2	1	3	3	3	3	3	3	3	3	3	3
604	3	5	3	2	5	3	3	0	3	2	3	3	3	0	3
607	4	3	2	2	3	3	2	3	4	2	2	2	4	2	3
609	4	2	2	3	3	3	1	4	4	3	1	2	3	2	4
614	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
619	5	5	5	0	0	0	5	5	5	0	0	0	5	5	5
628	3	1	3	1	1	5	5	1	3	5	3	1	3	5	5
629	5	2	5	3	1	3	2	5	5	5	1	1	5	5	5
631	4	1	4	4	1	2	0	5	3	4	0	1	2	4	1
634	4	2	2	3	3	3	1	4	4	3	1	2	3	2	4
636	5	3	3	1	0	3	3	5	3	3	3	3	3	5	5
660	4	2	3	3	2	5	3	5	3	3	2	1	3	3	5
661	5	4	1	1	4	3	3	1	5	1	3	3	5	1	3
664	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
665	5	0	5	5	0	5	5	5	5	5	5	0	5	5	5
668	4	3	5	5	3	5	3	4	4	5	3	3	4	4	5
669	4	2	2	3	3	3	1	4	4	3	1	2	3	2	4
672	4	2	2	2	2	4	2	4	4	2	0	2	4	4	4
674	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
686	4	3	5	5	3	5	3	4	4	5	3	3	4	4	5
687	2	4	5	3	3	3	3	3	2	1	3	4	2	3	3
690	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
692	5	0	3	3	1	5	1	5	3	4	2	1	5	3	4
694	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
696	4	0	5	5	0	5	1	4	5	4	0	1	4	5	5
697	5	0	3	3	0	3	0	3	5	3	0	0	5	5	4
701	5	4	1	1	4	3	3	1	5	1	3	3	5	1	3
704	2	3	3	3	3	4	3	4	2	3	3	3	2	2	4
706	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
710	5	5	5	4	4	4	3	3	3	5	5	5	0	0	0
712	0	0	0	4	4	0	4	4	0	4	2	0	4	2	2
715	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
720	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
721	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
722	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
726	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
731	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
733	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
734	5	4	3	3	4	3	3	5	2	2	4	4	3	1	4
735	4	2	2	2	2	4	2	2	4	2	2	2	4	4	4
737	4	2	2	2	2	2	2	2	4	2	2	2	2	2	2
738	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
743	4	0	3	3	3	5	0	5	2	2	3	0	2	2	5
745	5	0	5	5	0	5	5	5	5	5	0	5	5	5	5
749	4	2	3	3	3	4	3	4	4	3	4	3	4	3	3
751	4	3	5	5	3	5	3	4	4	5	3	3	4	4	5
752	4	3	5	5	3	5	3	4	4	5	3	3	4	4	5
754	4	3	5	5	3	5	3	4	4	5	3	3	4	4	5
757	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
768	4	2	2	2	2	4	2	4	4	2	2	2	4	4	4
771	5	4	1	1	4	3	3	1	5	1	3	3	5	1	3
774	2	5	0	0	5	0	2	0	1	0	5	5	2	0	0
776	4	2	3	2	3	5	0	5	2	2	3	0	2	2	5
777	4	2	2	2	2	2	2	2	4	2	2	2	2	2	2
780	2	2	3	3	2	5	3	5	3	3	2	2	4	4	5
782	5	0	5	5	5	5	0	5	5	5	0	0	5	5	5
792	4	2	3	3	2	4	3	5	3	3	2	1	4	4	5
799	5	0	3	4	2	4	2	5	5	5	0	1	3	5	4
800	5	0	4	4	4	4	0	5	5	5	0	0	5	5	5
806	5	4	5	5	4	5	3	4	5	4	4	4	5	1	5
808	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
816	5	0	3	3	0	3	0	3	5	3	0	0	5	4	3
818	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
821	4	0	5	4	0	5	1	3	3	4	0	0	4	5	5
822	3	3	3	5	2	3	3	3	5	3	2	3	3	3	3
824	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
826	5	3	3	3	3	5	2	3	5	3	0	0	5	4	5
832	3	2	3	3	2	3	2	3	3	3	2	2	3	3	3
836	5	4	1	1	4	3	3	1	5	1	3	3	5	5	3
841	4	2	2	3	3	3	1	4	4	3	1	2	3	2	4
843	5	4	0	0	4	3	3	2	5	0	0	0	5	1	5
848	3	0	4	4	0	5	1	5	4	3	0	0	3	5	5
849	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
855	5	0	3	2	0	3	0	3	5	3	0	0	5	5	3
861	5	0	5	5	0	5	0	5	5	4	0	0	4	4	5
865	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
866	5	0	4	3	0	5	1	4	3	4	0	0	4	5	4
873	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
875	5	3	3	3	3	5	2	3	5	3	0	0	5	4	5
883	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
885	4	3	5	5	3	5	3	4	4	5	3	3	4	3	5
886	5	0	3	4	1	5	2	4	5	3	1	0	5	4	5
888	4	0	5	5	0	5	3	4	5	4	3	3	5	5	5
890	4	4	2	2	3	4	1	3	4	2	3	2	4	2	3
891	4	0	3	4	3	3	2	5	2	2	3	0	2	2	5
892	5	0	5	5	0	5	0	5	5	5	0	0	5	4	4
893	3	4	2	1	3	3	4	2	3	1	3	3	3	2	3
898	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
902	5	3	3	3	3	5	2	3	5	3	0	0	5	4	5
904	5	0	3	3	0	4	0	3	5	3	0	0	5	5	3
905	4	2	2	3	3	3	1	4	4	3	1	2	3	2	4
906	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
908	4	2	4	4	2	4	2	4	4	4	2	2	4	4	4
909	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
910	2	3	3	3	3	3	3	3	4	3	3	2	3	2	5
913	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
914	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
915	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
916	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
917	5	4	1	1	4	3	3	1	5	1	3	3	5	1	3
921	4	3	5	5	3	5	3	4	4	5	3	3	4	4	5
923	4	2	3	3	2	4	3	4	3	3	2	1	4	4	4
925	4	2	2	3	3	3	1	4	4	3	1	2	3	2	4
931	5	4	1	1	4	4	3	1	0	1	3	3	5	1	1
934	4	3	4	5	3	5	3	4	4	5	3	3	4	5	5
935	4	2	2	3	3	3	1	4	4	3	1	2	3	2	4
936	4	0	3	3	0	1	0	3	5	2	0	0	5	5	3
938	5	3	3	3	3	5	2	3	1	3	0	0	5	4	5
939	5	0	5	4	0	5	1	5	3	5	0	0	4	5	3
941	3	3	3	2	3	4	3	2	3	2	3	4	2	3	4
943	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
947	4	2	2	3	3	3	1	4	4	3	1	2	3	2	4
948	5	0	2	4	0	2	2	3	4	2	2	3	4	4	2
951	5	3	1	4	3	5	1	3	4	2	1	0	5	3	5
961	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
963	5	2	2	0	5	3	5	3	5	2	3	3	5	3	5
966	4	0	0	0	0	0	0	0	4	0	0	0	4	0	0
968	3	3	2	2	3	2	2	3	3	2	2	2	3	2	3
970	3	3	2	2	3	3	2	3	3	2	2	2	3	2	3
973	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
974	3	3	3	3	3	3	2	3	3	3	2	2	3	2	3
981	1	2	1	1	2	3	3	1	1	1	5	5	1	3	2
982	3	4	4	1	4	4	1	4	3	3	1	1	3	1	4
983	4	3	1	1	4	4	3	4	3	1	3	3	4	2	4
985	4	1	4	4	1	4	1	4	4	4	1	1	4	4	4
986	5	0	3	3	0	4	3	4	4	3	3	3	4	5	4
987	1	0	5	5	1	5	0	5	2	4	2	1	4	4	5
988	5	0	5	5	0	0	5	5	5	0	5	5	5	5	0
989	5	1	3	3	1	3	0	5	5	3	1	0	5	4	5
993	4	3	4	4	3	5	3	4	4	4	0	0	4	4	4
994	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
997	3	3	3	4	4	5	3	3	3	3	3	3	3	2	3
1000	1	3	2	2	4	4	4	4	1	1	3	3	1	2	5
1002	4	1	2	3	1	3	1	1	1	2	1	1	4	3	3
1004	5	0	5	1	0	5	0	3	5	2	3	1	5	5	3
1006	5	1	3	3	3	5	2	5	3	3	0	2	5	4	5
1009	4	3	3	4	3	3	2	4	4	4	4	4	4	2	2
1014	5	1	3	3	3	3	1	5	5	3	1	1	5	1	5
1022	4	0	2	2	2	3	2	3	4	1	1	1	4	4	3
1024	4	4	4	5	3	1	4	2	3	2	2	1	4	5	0
1033	5	3	4	3	3	4	2	4	4	3	1	2	5	4	3
1039	5	0	1	5	0	5	0	5	5	4	0	0	5	5	5
1040	4	0	3	3	4	3	3	3	3	3	3	3	4	4	3
1042	4	3	5	3	2	5	3	5	5	5	5	5	5	5	5
1043	5	5	0	0	5	5	0	0	5	0	5	5	0	0	0
1050	5	0	5	5	0	5	5	5	5	5	5	5	5	5	5
1054	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
1056	5	0	3	0	3	5	3	3	5	0	3	0	5	2	5
1058	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
1067	5	3	2	2	3	3	3	3	3	2	3	3	5	2	3
1070	4	3	3	3	3	3	3	3	4	3	3	3	4	3	3
1072	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
1074	5	4	5	4	5	5	5	4	5	3	0	0	5	5	5
1083	3	0	2	2	0	0	0	0	4	1	0	0	4	4	2
1085	0	0	3	3	1	5	1	4	4	1	0	0	5	4	5
1086	3	1	4	1	4	4	4	4	4	1	1	1	4	1	4
1087	5	3	4	1	3	4	4	4	4	1	3	3	5	3	4
1096	4	2	2	2	2	4	2	3	4	2	2	2	4	3	4
1097	3	3	3	3	2	3	2	5	3	3	2	2	5	5	5
1098	4	4	2	3	2	3	2	3	3	3	3	3	2	2	3
1104	3	3	2	2	3	3	3	3	3	2	3	2	4	2	3
1107	4	5	0	0	5	5	3	3	4	0	3	3	4	0	3
1108	4	3	2	4	5	1	4	3	4	2	4	4	4	1	1
1109	3	4	3	4	5	5	4	4	4	3	3	4	4	1	4
1111	4	4	1	1	3	1	1	1	2	1	2	1	1	2	2
1112	4	3	3	3	3	3	3	3	3	3	3	3	4	2	3
1121	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1123	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1131	4	4	1	3	3	5	0	2	3	0	4	2	2	2	4
1132	5	3	3	4	2	3	0	3	4	2	0	0	4	4	4
1137	4	5	1	3	5	5	3	4	4	2	3	3	4	1	5
1138	5	3	4	4	3	3	3	5	4	4	3	3	4	2	4
1142	4	4	2	2	4	4	3	2	3	2	4	3	3	2	5
1143	1	4	1	1	4	1	4	1	1	1	4	4	1	1	1
1151	5	0	3	4	0	4	2	3	5	4	3	0	4	5	5
1163	3	3	2	3	4	1	4	1	3	2	4	4	3	2	2
1164	4	3	3	4	2	3	3	2	4	3	3	3	3	4	2
1165	4	3	4	3	2	4	3	4	4	1	3	2	4	3	4
1170	4	2	4	3	4	5	3	3	4	3	2	2	5	4	5
1171	4	1	4	5	2	3	1	2	3	3	1	0	5	4	3
1175	5	4	5	4	2	4	2	3	4	2	0	0	4	5	4
1176	3	4	3	4	2	3	1	3	3	3	1	1	3	4	3
1177	3	3	4	3	4	4	2	4	2	2	2	3	3	3	4
1181	4	2	4	5	2	4	1	2	5	3	1	2	4	4	3
1182	3	3	2	3	4	4	3	2	3	2	3	3	3	3	3
1185	5	0	3	3	1	4	2	5	5	1	1	0	5	5	4
1186	5	0	5	5	0	5	0	5	5	5	0	5	5	3	5
1189	3	2	2	2	3	2	3	1	3	1	2	3	3	2	3
1193	4	2	4	4	2	1	3	3	3	2	3	3	3	3	4
1194	2	3	4	4	1	4	3	4	3	3	2	1	4	3	2
1198	4	3	2	2	3	5	1	2	3	1	2	2	5	4	4
1199	3	0	2	5	0	5	4	3	0	3	0	1	4	5	5
1201	4	3	3	4	2	2	1	4	2	4	1	1	3	2	3
1203	3	2	3	3	2	3	3	2	3	3	2	3	3	2	3
1204	4	0	3	4	0	5	3	3	2	2	0	1	5	4	5
1208	4	4	4	4	4	4	4	4	4	4	2	2	4	4	4
1221	1	0	4	5	2	4	2	4	1	5	2	1	1	5	4
1223	4	1	3	3	1	3	2	2	3	3	2	2	3	3	3
1232	2	3	0	3	2	3	4	3	2	3	3	3	3	3	3
1234	4	2	2	3	4	3	4	3	5	2	3	1	5	4	5
1235	4	4	2	2	4	2	1	3	3	0	3	3	4	2	2
1244	4	0	3	5	0	3	3	3	5	3	1	4	4	5	2
1245	2	3	4	5	3	0	0	2	2	2	3	3	2	2	4
1247	3	1	5	5	3	3	5	2	4	5	0	4	4	5	5
1249	5	2	5	5	4	3	3	5	5	3	2	4	5	2	5
1253	0	0	0	2	1	0	2	0	3	4	4	4	5	5	5
1258	4	2	3	4	4	3	4	3	4	3	2	2	5	4	4
1259	2	0	5	2	0	5	0	4	0	5	5	5	0	4	1
1261	5	2	4	4	2	4	2	4	4	4	2	2	4	4	4
1265	5	3	4	2	3	4	3	4	5	4	4	3	5	3	3
1266	4	2	1	2	2	4	4	2	4	1	4	4	3	3	4
1274	5	2	2	2	3	3	3	3	5	1	3	3	5	2	3
1279	4	0	3	0	0	2	3	2	2	4	3	1	5	4	2
1281	4	2	2	3	3	3	3	3	3	3	2	2	2	3	3
1283	4	0	3	3	2	3	2	2	3	3	2	2	4	4	4
1284	4	1	4	3	1	4	2	4	3	2	1	1	4	4	3
1285	4	0	4	4	2	4	2	4	4	3	2	2	4	4	4
1287	5	2	4	4	3	5	2	5	4	5	1	0	5	3	4
1290	4	1	4	4	1	4	1	4	4	4	1	1	4	4	4
1293	5	0	4	3	0	4	0	3	2	3	0	3	4	3	5
1301	3	0	5	5	0	3	0	3	2	5	0	0	3	5	3
1302	4	2	5	5	3	2	3	5	4	3	3	0	5	5	4
1303	4	4	3	4	4	3	4	2	2	3	4	4	4	4	4
1304	4	2	4	0	3	3	2	4	3	1	2	1	4	3	3
1307	3	2	2	2	2	3	2	3	3	2	3	3	3	2	3
1308	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1309	5	5	5	5	5	5	0	5	2	5	0	0	2	2	3
1310	4	1	3	3	3	3	3	3	3	3	3	3	3	3	3
1311	5	2	2	1	2	5	3	2	3	2	0	0	3	3	3
1315	3	2	3	5	0	5	2	2	1	3	0	0	2	5	5
1316	4	2	3	3	1	1	3	2	4	2	4	4	2	4	2
1321	1	2	3	2	2	3	1	4	3	3	1	1	3	4	3
1322	3	5	3	3	5	2	2	2	2	3	2	2	3	0	3
